insulator n.绝缘层
desiccation n.干燥
elevation n.高度，海拔；立面，立视图；提拔，提升
counteract n.抵制
infrared a.红外线的
methane n.甲烷
evaporation n.蒸发
respiration n.呼吸(呼吸作用)
exhale v.呼气
photosynthesis n.光合作用
deforestation n.滥伐林木
lumber n.木材
plow n.犁；犁过的地
smelt v.熔炼，精炼
foam n.泡沫
coolant n.冷却剂
worrisome a.令人担心的，使人发愁的
spotty a.质量不均匀的，不规则的
pronounced a.明显的，显著的
panel n.专家咨询组，专题讨论小组;控制板，仪表盘；（车身的）金属板
elaborate a.复杂的，详尽的；精心制作的
precipitation n.降水（如雨，雪，冰雹）；沉淀，淀析；仓促
snowpack n.积雪场
evaporate v.蒸发，挥发
swell v.肿胀，膨胀;n.海浪的涌动，涌浪
storm_surge n.风暴潮(2 words)
everglade n.湿地；沼泽草地
incidence n.可能性
allergy n.过敏(allergic)
pollen n.花粉
dissent v.持异议，不同意 n.不同意，意见的分歧；
detrimental a.有害的
curb v.控制,抑制
armor n.盔甲，甲胄；装甲，防弹钢板
dike n.堤坝，大坝
sequestration n.隔离；扣押；退隐
confront v.面对，正视
ratify vt.批准；认可
proponent n.支持者
decouple v.分离，隔绝，减震
contentious a.爱争论的；有异议的，引起争论的
End
